               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  64,             0.10584,           0.0087696,            0.031343,            0.002305,              0.2296,           0.0016926,          0.00035865,             0.10437,           0.0062172,            0.031693,          0.00073783,          0.00073783,          0.00073783
                  65,             0.10577,           0.0084088,            0.031324,           0.0022998,             0.22747,           0.0016597,          0.00035355,             0.10431,           0.0062121,            0.031696,           0.0007305,           0.0007305,           0.0007305
                  66,             0.10596,           0.0090111,            0.031327,           0.0023097,             0.22857,           0.0016653,          0.00035565,             0.10436,            0.006212,            0.031696,          0.00072316,          0.00072316,          0.00072316
                  67,             0.10589,            0.008832,            0.031356,           0.0023053,              0.2293,           0.0016682,          0.00035601,             0.10437,           0.0062167,            0.031697,          0.00071582,          0.00071582,          0.00071582
                  68,             0.10584,           0.0087995,            0.031394,           0.0022831,             0.22701,           0.0016532,          0.00035531,             0.10439,           0.0062162,            0.031706,          0.00070849,          0.00070849,          0.00070849
                  69,             0.10573,           0.0083809,            0.031274,           0.0022901,             0.22719,           0.0016622,          0.00035247,             0.10436,           0.0062137,            0.031703,          0.00070115,          0.00070115,          0.00070115
                  70,             0.10574,           0.0085397,            0.031336,           0.0022949,             0.22747,           0.0016719,          0.00035128,             0.10434,           0.0062128,            0.031696,          0.00069382,          0.00069382,          0.00069382
                  71,             0.10598,           0.0089409,            0.031331,           0.0022856,             0.22763,           0.0017006,          0.00035751,              0.1044,           0.0062113,            0.031696,          0.00068648,          0.00068648,          0.00068648
                  72,              0.1056,           0.0080711,              0.0313,           0.0022803,             0.22605,           0.0016522,          0.00035109,             0.10434,           0.0062093,            0.031698,          0.00067914,          0.00067914,          0.00067914
                  73,             0.10562,           0.0083039,            0.031371,           0.0023101,             0.22871,            0.001667,          0.00035325,              0.1043,           0.0062076,            0.031702,          0.00067181,          0.00067181,          0.00067181
                  74,             0.10586,           0.0086788,            0.031354,           0.0022964,             0.22692,           0.0016615,          0.00035152,             0.10432,           0.0062083,            0.031702,          0.00066447,          0.00066447,          0.00066447
                  75,             0.10573,           0.0084084,            0.031294,           0.0022963,              0.2272,           0.0016588,          0.00035368,             0.10433,           0.0062073,            0.031705,          0.00065714,          0.00065714,          0.00065714
                  76,             0.10582,           0.0087257,             0.03129,           0.0023005,              0.2275,           0.0016632,          0.00035133,             0.10432,           0.0062079,            0.031702,           0.0006498,           0.0006498,           0.0006498
                  77,             0.10572,            0.008306,             0.03131,           0.0022956,             0.22717,           0.0016514,          0.00035074,             0.10432,           0.0062082,            0.031702,          0.00064246,          0.00064246,          0.00064246
                  78,             0.10574,           0.0084136,            0.031334,           0.0022896,             0.22685,           0.0016462,          0.00034976,             0.10432,           0.0062062,            0.031701,          0.00063513,          0.00063513,          0.00063513
                  79,             0.10581,           0.0087804,            0.031381,           0.0022865,             0.22655,           0.0016541,          0.00034956,             0.10433,           0.0062083,            0.031699,          0.00062779,          0.00062779,          0.00062779
                  80,              0.1056,           0.0083235,            0.031293,           0.0022943,             0.22732,           0.0016588,          0.00035114,             0.10432,           0.0062084,              0.0317,          0.00062046,          0.00062046,          0.00062046
                  81,             0.10576,           0.0081994,            0.031294,           0.0022989,             0.22778,           0.0016613,          0.00035091,             0.10431,           0.0062063,            0.031703,          0.00061312,          0.00061312,          0.00061312
                  82,             0.10574,             0.00851,            0.031279,           0.0022904,             0.22666,           0.0016552,          0.00034967,             0.10431,           0.0062067,            0.031702,          0.00060578,          0.00060578,          0.00060578
                  83,             0.10588,           0.0086667,            0.031358,           0.0023014,              0.2275,           0.0016616,          0.00035344,             0.10431,           0.0062061,              0.0317,          0.00059845,          0.00059845,          0.00059845
                  84,             0.10573,           0.0082417,            0.031292,           0.0023015,             0.22816,           0.0016676,          0.00035281,             0.10432,           0.0062057,            0.031701,          0.00059111,          0.00059111,          0.00059111
                  85,             0.10581,            0.008773,            0.031384,           0.0022995,             0.22758,           0.0016627,          0.00035396,             0.10433,           0.0062055,            0.031701,          0.00058378,          0.00058378,          0.00058378
                  86,             0.10586,           0.0086115,            0.031309,           0.0022994,             0.22831,           0.0016654,          0.00035281,             0.10434,           0.0062069,            0.031701,          0.00057644,          0.00057644,          0.00057644
                  87,             0.10569,           0.0082301,            0.031333,           0.0023119,             0.22862,           0.0016761,          0.00035512,             0.10433,            0.006206,            0.031703,           0.0005691,           0.0005691,           0.0005691
                  88,              0.1059,           0.0087214,            0.031333,           0.0022835,             0.22663,           0.0016555,          0.00035125,             0.10433,           0.0062068,            0.031701,          0.00056177,          0.00056177,          0.00056177
                  89,             0.10581,           0.0087024,            0.031323,           0.0022723,             0.22528,           0.0016472,          0.00035293,             0.10434,           0.0062082,            0.031699,          0.00055443,          0.00055443,          0.00055443
                  90,             0.10582,           0.0084859,            0.031296,           0.0022977,             0.22791,           0.0016553,          0.00035359,             0.10433,           0.0062083,            0.031697,           0.0005471,           0.0005471,           0.0005471
                  91,             0.10606,           0.0090932,            0.031397,           0.0022736,             0.22574,           0.0016478,          0.00035067,             0.10434,           0.0062095,            0.031697,          0.00053976,          0.00053976,          0.00053976
                  92,             0.10577,           0.0082979,            0.031323,           0.0022821,             0.22661,           0.0016494,          0.00034905,             0.10434,            0.006209,            0.031698,          0.00053242,          0.00053242,          0.00053242
                  93,             0.10595,           0.0090651,            0.031386,            0.002288,             0.22664,           0.0016598,          0.00035093,             0.10434,           0.0062107,            0.031698,          0.00052509,          0.00052509,          0.00052509
                  94,             0.10588,           0.0090513,            0.031375,           0.0022967,             0.22793,           0.0016621,          0.00035125,             0.10435,           0.0062115,            0.031698,          0.00051775,          0.00051775,          0.00051775
                  95,             0.10595,           0.0084918,            0.031317,           0.0022921,             0.22759,           0.0016657,          0.00035143,             0.10435,           0.0062107,              0.0317,          0.00051042,          0.00051042,          0.00051042
                  96,             0.10578,           0.0082172,            0.031265,           0.0022856,             0.22644,           0.0016595,           0.0003519,             0.10434,           0.0062103,            0.031699,          0.00050308,          0.00050308,          0.00050308
                  97,              0.1061,           0.0092136,            0.031406,           0.0022792,             0.22584,           0.0016529,          0.00034852,             0.10434,           0.0062114,            0.031699,          0.00049574,          0.00049574,          0.00049574
                  98,             0.10592,           0.0088801,            0.031321,           0.0022889,             0.22649,           0.0016617,          0.00035111,             0.10435,           0.0062113,            0.031699,          0.00048841,          0.00048841,          0.00048841
                  99,             0.10564,           0.0080841,            0.031365,            0.002287,              0.2266,           0.0016598,          0.00034924,             0.10434,           0.0062098,            0.031701,          0.00048107,          0.00048107,          0.00048107
                 100,             0.10592,            0.008852,            0.031326,            0.002297,             0.22784,           0.0016646,          0.00035083,             0.10435,           0.0062101,            0.031699,          0.00047374,          0.00047374,          0.00047374
                 101,             0.10579,            0.008397,            0.031338,           0.0022877,             0.22677,           0.0016617,           0.0003508,             0.10434,           0.0062108,            0.031699,           0.0004664,           0.0004664,           0.0004664
                 102,             0.10573,           0.0087447,            0.031379,           0.0023001,             0.22778,           0.0016661,          0.00035185,             0.10435,           0.0062103,            0.031698,          0.00045906,          0.00045906,          0.00045906
                 103,             0.10603,           0.0089738,            0.031365,           0.0023067,             0.22835,           0.0016729,          0.00035374,             0.10435,           0.0062101,            0.031698,          0.00045173,          0.00045173,          0.00045173
