               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  58,           0.0072593,            0.015608,          0.00041063,             0.99994,                   1,               0.995,             0.99186,           0.0035721,           0.0045344,          0.00014966,           0.0034856,           0.0034856,           0.0034856
                  59,           0.0070971,            0.015324,          0.00040872,             0.99994,                   1,               0.995,             0.99215,           0.0035348,           0.0044457,           0.0001469,           0.0034064,           0.0034064,           0.0034064
                  60,           0.0070237,            0.015061,           0.0003875,             0.99994,                   1,               0.995,             0.99222,           0.0034736,           0.0044125,          0.00013462,           0.0033272,           0.0033272,           0.0033272
                  61,           0.0069889,            0.014392,          0.00039362,             0.99992,             0.99998,               0.995,             0.99224,           0.0034538,           0.0044017,          0.00011939,            0.003248,            0.003248,            0.003248
                  62,           0.0069295,            0.015613,          0.00039589,             0.99992,                   1,               0.995,             0.99252,           0.0034692,            0.004424,          0.00011443,           0.0031688,           0.0031688,           0.0031688
                  63,           0.0067985,            0.015888,           0.0003897,             0.99994,                   1,               0.995,             0.99229,           0.0034927,           0.0044459,          0.00011204,           0.0030896,           0.0030896,           0.0030896
                  64,           0.0067222,            0.014539,          0.00036554,             0.99995,                   1,               0.995,             0.99207,           0.0034502,           0.0043871,          0.00010367,           0.0030104,           0.0030104,           0.0030104
                  65,           0.0066438,            0.015038,            0.000368,             0.99994,                   1,               0.995,             0.99223,           0.0034353,           0.0043533,          9.1665e-05,           0.0029312,           0.0029312,           0.0029312
                  66,           0.0066821,            0.015643,          0.00034637,             0.99993,                   1,               0.995,             0.99197,           0.0034428,           0.0043777,          8.3437e-05,            0.002852,            0.002852,            0.002852
                  67,           0.0065089,            0.014777,          0.00034038,             0.99994,                   1,               0.995,             0.99227,           0.0034083,           0.0043438,          8.0638e-05,           0.0027728,           0.0027728,           0.0027728
                  68,           0.0064662,            0.015137,          0.00034733,             0.99994,                   1,               0.995,             0.99217,           0.0034054,           0.0043611,          7.4624e-05,           0.0026936,           0.0026936,           0.0026936
                  69,           0.0064259,            0.015027,          0.00032157,             0.99995,                   1,               0.995,             0.99229,           0.0034004,           0.0043644,          6.9925e-05,           0.0026144,           0.0026144,           0.0026144
                  70,           0.0063201,            0.013817,          0.00033465,             0.99994,                   1,               0.995,             0.99242,           0.0033847,           0.0043403,          6.1574e-05,           0.0025352,           0.0025352,           0.0025352
                  71,           0.0061713,            0.013993,          0.00031963,             0.99995,                   1,               0.995,             0.99215,           0.0033798,           0.0043419,          5.9766e-05,            0.002456,            0.002456,            0.002456
                  72,           0.0062411,            0.014808,          0.00029351,             0.99994,                   1,               0.995,             0.99212,           0.0033726,           0.0043401,          5.4568e-05,           0.0023768,           0.0023768,           0.0023768
                  73,           0.0061674,            0.014988,          0.00032138,             0.99994,                   1,               0.995,             0.99233,           0.0033452,           0.0043088,          5.0573e-05,           0.0022976,           0.0022976,           0.0022976
                  74,           0.0060553,            0.014706,          0.00027379,             0.99993,                   1,               0.995,             0.99264,           0.0033359,           0.0042914,          4.7494e-05,           0.0022184,           0.0022184,           0.0022184
                  75,           0.0059659,            0.014053,          0.00029509,             0.99993,                   1,               0.995,             0.99265,           0.0033257,           0.0042889,          4.3697e-05,           0.0021392,           0.0021392,           0.0021392
                  76,           0.0058523,            0.013377,          0.00027255,             0.99994,                   1,               0.995,              0.9927,           0.0033056,           0.0042715,          4.0915e-05,             0.00206,             0.00206,             0.00206
                  77,           0.0058621,            0.014241,          0.00028679,             0.99993,                   1,               0.995,             0.99276,           0.0032813,           0.0042392,          3.8188e-05,           0.0019808,           0.0019808,           0.0019808
                  78,             0.00575,            0.013943,          0.00028861,             0.99993,                   1,               0.995,             0.99331,           0.0032692,           0.0042347,          3.6664e-05,           0.0019016,           0.0019016,           0.0019016
                  79,           0.0057077,            0.014408,          0.00028225,             0.99994,                   1,               0.995,             0.99333,           0.0032576,             0.00422,           3.371e-05,           0.0018224,           0.0018224,           0.0018224
                  80,           0.0056325,            0.013432,          0.00024173,             0.99994,                   1,               0.995,             0.99316,           0.0032431,           0.0042035,          3.1406e-05,           0.0017432,           0.0017432,           0.0017432
                  81,            0.005553,            0.013228,          0.00024033,             0.99994,                   1,               0.995,             0.99315,           0.0032377,           0.0042035,          2.9288e-05,            0.001664,            0.001664,            0.001664
                  82,           0.0055078,             0.01336,          0.00023681,             0.99994,                   1,               0.995,             0.99335,           0.0032235,           0.0041982,          2.7271e-05,           0.0015848,           0.0015848,           0.0015848
                  83,            0.005404,            0.012855,          0.00023803,             0.99994,                   1,               0.995,             0.99317,           0.0032189,           0.0041878,          2.5519e-05,           0.0015056,           0.0015056,           0.0015056
                  84,           0.0053552,            0.013225,          0.00024749,             0.99993,                   1,               0.995,             0.99298,           0.0032103,            0.004186,          2.4009e-05,           0.0014264,           0.0014264,           0.0014264
                  85,           0.0052467,            0.013116,          0.00022145,             0.99994,                   1,               0.995,             0.99302,           0.0031969,           0.0041665,          2.2569e-05,           0.0013472,           0.0013472,           0.0013472
                  86,           0.0052304,            0.012643,          0.00023402,             0.99993,                   1,               0.995,             0.99303,           0.0031983,           0.0041688,          2.1196e-05,            0.001268,            0.001268,            0.001268
                  87,           0.0051654,            0.013147,          0.00020778,             0.99993,                   1,               0.995,             0.99303,            0.003192,           0.0041645,          2.0048e-05,           0.0011888,           0.0011888,           0.0011888
                  88,           0.0050995,            0.012535,          0.00020881,             0.99993,                   1,               0.995,             0.99318,            0.003186,           0.0041595,           1.851e-05,           0.0011096,           0.0011096,           0.0011096
                  89,           0.0050101,            0.012326,          0.00018573,             0.99993,                   1,               0.995,             0.99318,           0.0031735,           0.0041494,          1.6509e-05,           0.0010304,           0.0010304,           0.0010304
                  90,           0.0050132,            0.012531,          0.00020482,             0.99993,                   1,               0.995,              0.9932,           0.0031651,            0.004146,          1.4246e-05,           0.0009512,           0.0009512,           0.0009512
                  91,           0.0049263,            0.012691,          0.00018087,             0.99993,                   1,               0.995,             0.99338,           0.0031562,           0.0041388,          1.1901e-05,            0.000872,            0.000872,            0.000872
                  92,           0.0048768,            0.013181,          0.00017599,             0.99993,                   1,               0.995,             0.99343,           0.0031454,           0.0041251,          9.8626e-06,           0.0007928,           0.0007928,           0.0007928
                  93,           0.0048214,            0.012598,          0.00018751,             0.99993,                   1,               0.995,             0.99342,           0.0031399,           0.0041197,          8.0513e-06,           0.0007136,           0.0007136,           0.0007136
                  94,           0.0047608,            0.012341,          0.00015659,             0.99993,                   1,               0.995,             0.99349,           0.0031364,           0.0041162,           6.586e-06,           0.0006344,           0.0006344,           0.0006344
                  95,           0.0047113,             0.01233,          0.00016467,             0.99993,                   1,               0.995,             0.99348,            0.003134,           0.0041177,          5.5385e-06,           0.0005552,           0.0005552,           0.0005552
                  96,           0.0046442,            0.011763,          0.00015935,             0.99993,                   1,               0.995,             0.99352,           0.0031313,           0.0041156,          4.7621e-06,            0.000476,            0.000476,            0.000476
                  97,           0.0046454,            0.011629,          0.00013413,             0.99993,                   1,               0.995,             0.99356,           0.0031319,           0.0041181,          4.1809e-06,           0.0003968,           0.0003968,           0.0003968
                  98,           0.0045648,            0.011761,          0.00016118,             0.99993,                   1,               0.995,             0.99355,           0.0031268,           0.0041151,          3.7223e-06,           0.0003176,           0.0003176,           0.0003176
                  99,           0.0045075,            0.011547,          0.00014817,             0.99993,                   1,               0.995,             0.99348,           0.0031214,           0.0041093,          3.3614e-06,           0.0002384,           0.0002384,           0.0002384
